timestamp,P,A,D
1740095541.7019,0.85,0.5,-0.19
1740095542.2073,0.83,0.51,-0.2
1740095542.7117,0.79,0.57,-0.23
1740095543.2158,0.79,0.57,-0.23
1740095543.7207,0.79,0.56,-0.25
1740095544.2255,0.8,0.55,-0.26
1740095544.7287,0.76,0.58,-0.29
1740095545.2331,0.7,0.63,-0.33
1740095545.7377,0.69,0.64,-0.35
1740095546.2418,0.68,0.65,-0.33
1740095546.7462,0.69,0.66,-0.3
1740095547.2499,0.7,0.66,-0.28
1740095547.7545,0.71,0.65,-0.27
1740095548.2594,0.71,0.66,-0.26
1740095548.7639,0.72,0.64,-0.25
1740095549.2672,0.72,0.64,-0.26
1740095549.7718,0.73,0.63,-0.26
1740095550.2761,0.74,0.61,-0.27
1740095550.7797,0.74,0.62,-0.28
1740095551.2863,0.74,0.61,-0.29
1740095551.7889,0.74,0.61,-0.29
1740095552.294,0.71,0.64,-0.31
1740095552.7983,0.68,0.65,-0.33
1740095553.3026,0.68,0.65,-0.33
1740095553.807,0.7,0.64,-0.32
1740095554.3118,0.74,0.61,-0.3
1740095554.8154,0.74,0.61,-0.3
1740095555.3194,0.73,0.61,-0.3
1740095555.8229,0.74,0.61,-0.3
1740095556.3284,0.71,0.63,-0.31
1740095556.8325,0.71,0.63,-0.33
1740095557.3372,0.69,0.64,-0.34
1740095557.8419,0.69,0.63,-0.34
1740095558.3447,0.7,0.62,-0.34
1740095558.8494,0.73,0.61,-0.31
1740095559.3542,0.74,0.61,-0.28
1740095559.8575,0.74,0.62,-0.26
1740095560.3626,0.75,0.61,-0.25
1740095560.8673,0.75,0.62,-0.25
1740095561.3716,0.75,0.61,-0.25
1740095561.8771,0.75,0.6,-0.27
1740095562.3813,0.72,0.62,-0.32
1740095562.8858,0.72,0.62,-0.32
1740095563.3888,0.69,0.65,-0.32
1740095563.8924,0.71,0.64,-0.3
1740095564.3973,0.71,0.64,-0.3
1740095564.9024,0.71,0.64,-0.3
1740095565.4062,0.71,0.64,-0.3
1740095565.9107,0.71,0.64,-0.3
1740095566.4144,0.71,0.64,-0.31
1740095566.9193,0.73,0.62,-0.29
