timestamp,actionEye,powerUpperFace,actionUpperFace,powerLowerFace,actionLowerFace
1740095744.6993,neutral,0.057162,frown,0,neutral
1740095744.7304,neutral,0.057162,frown,0,neutral
1740095744.7621,neutral,0.057162,frown,0,neutral
1740095744.7934,neutral,0.057162,frown,0,neutral
1740095744.8252,neutral,0.068913,frown,0,neutral
1740095744.8571,neutral,0.068913,frown,0,neutral
1740095744.8886,neutral,0.068913,frown,0,neutral
1740095744.9201,neutral,0.068913,frown,0,neutral
1740095744.9516,neutral,0.106394,frown,0,neutral
1740095744.983,neutral,0.106394,frown,0,neutral
1740095745.0141,neutral,0.106394,frown,0,neutral
1740095745.0452,neutral,0.106394,frown,0,neutral
1740095745.0769,neutral,0.126621,frown,0,neutral
1740095745.1083,neutral,0.126621,frown,0,neutral
1740095745.14,neutral,0.126621,frown,0,neutral
1740095745.1717,neutral,0.126621,frown,0,neutral
1740095745.2034,neutral,0.065082,frown,0,neutral
1740095745.2349,neutral,0.065082,frown,0,neutral
1740095745.2669,neutral,0.065082,frown,0,neutral
1740095745.2984,neutral,0.065082,frown,0,neutral
1740095745.3295,neutral,0.046367,frown,0,neutral
1740095745.3608,neutral,0.046367,frown,0,neutral
1740095745.3927,neutral,0.046367,frown,0,neutral
1740095745.4247,neutral,0.046367,frown,0,neutral
1740095745.4562,neutral,0.049097,frown,0,neutral
1740095745.4879,neutral,0.049097,frown,0,neutral
1740095745.5194,neutral,0.049097,frown,0,neutral
1740095745.5509,neutral,0.049097,frown,0,neutral
1740095745.5824,neutral,0.060191,frown,0,neutral
1740095745.6135,neutral,0.060191,frown,0,neutral
1740095745.6446,neutral,0.060191,frown,0,neutral
1740095745.6759,neutral,0.060191,frown,0,neutral
1740095745.7077,neutral,0.046212,frown,0,neutral
1740095745.739,neutral,0.046212,frown,0,neutral
1740095745.7707,neutral,0.046212,frown,0,neutral
1740095745.8024,neutral,0.046212,frown,0,neutral
1740095745.8341,neutral,0.035609,frown,0,neutral
1740095745.8659,neutral,0.035609,frown,0,neutral
1740095745.8974,neutral,0.035609,frown,0,neutral
1740095745.9287,neutral,0.035609,frown,0,neutral
1740095745.9602,neutral,0.033106,frown,0,neutral
1740095745.9919,neutral,0.033106,frown,0,neutral
1740095746.0235,neutral,0.033106,frown,0,neutral
1740095746.055,neutral,0.033106,frown,0,neutral
1740095746.0865,neutral,0.054407,frown,0,neutral
1740095746.1182,neutral,0.054407,frown,0,neutral
1740095746.1497,neutral,0.054407,frown,0,neutral
1740095746.1813,neutral,0.054407,frown,0,neutral
1740095746.2128,neutral,0.044609,frown,0,neutral
1740095746.2445,neutral,0.044609,frown,0,neutral
1740095746.2758,neutral,0.044609,frown,0,neutral
1740095746.3075,neutral,0.044609,frown,0,neutral
1740095746.3389,neutral,0.059239,frown,0,neutral
1740095746.3705,neutral,0.059239,frown,0,neutral
1740095746.4022,neutral,0.059239,frown,0,neutral
1740095746.4339,neutral,0.059239,frown,0,neutral
1740095746.4655,neutral,0.058859,frown,0,neutral
1740095746.4967,neutral,0.058859,frown,0,neutral
1740095746.5278,neutral,0.058859,frown,0,neutral
1740095746.5589,neutral,0.058859,frown,0,neutral
1740095746.59,neutral,0.091303,frown,0,neutral
1740095746.6216,neutral,0.091303,frown,0,neutral
1740095746.6529,neutral,0.091303,frown,0,neutral
1740095746.6844,neutral,0.091303,frown,0,neutral
1740095746.7161,neutral,0.061114,frown,0,neutral
1740095746.7478,neutral,0.061114,frown,0,neutral
1740095746.7794,neutral,0.061114,frown,0,neutral
1740095746.8111,neutral,0.061114,frown,0,neutral
1740095746.8426,neutral,0.059448,frown,0,neutral
1740095746.8737,neutral,0.059448,frown,0,neutral
1740095746.9054,neutral,0.059448,frown,0,neutral
1740095746.9374,neutral,0.059448,frown,0,neutral
1740095746.9689,neutral,0.053059,frown,0,neutral
1740095747.0008,neutral,0.053059,frown,0,neutral
1740095747.0323,neutral,0.053059,frown,0,neutral
1740095747.0641,neutral,0.053059,frown,0,neutral
1740095747.0956,neutral,0.052989,frown,0,neutral
1740095747.1275,neutral,0.052989,frown,0,neutral
1740095747.1594,neutral,0.052989,frown,0,neutral
1740095747.1911,neutral,0.052989,frown,0,neutral
1740095747.2225,neutral,0.081804,frown,0,neutral
1740095747.254,neutral,0.081804,frown,0,neutral
1740095747.2855,neutral,0.081804,frown,0,neutral
1740095747.3172,neutral,0.081804,frown,0,neutral
1740095747.3487,neutral,0.105331,frown,0,neutral
1740095747.3803,neutral,0.105331,frown,0,neutral
1740095747.412,neutral,0.105331,frown,0,neutral
1740095747.4431,blink,0.105331,frown,0,neutral
1740095747.4748,blink,0.114389,frown,0,neutral
1740095747.5063,blink,0.114389,frown,0,neutral
1740095747.5381,blink,0.114389,frown,0,neutral
