timestamp,t7,t8,pz,af3,af4
1740095803.7248,4137.436,4025.128,4299.487,4157.436,4234.872
1740095803.7326,4098.462,3992.821,4269.231,4108.205,4189.231
1740095803.7404,4086.154,4007.179,4251.795,4087.692,4153.846
1740095803.7482,4116.923,4026.667,4249.744,4080,4146.154
1740095803.7559,4133.333,4018.974,4246.667,4084.615,4168.205
1740095803.7637,4153.846,4017.436,4237.949,4078.462,4171.795
1740095803.7715,4196.923,4016.923,4234.359,4046.154,4135.897
1740095803.7793,4198.974,4004.615,4224.615,4030.769,4129.231
1740095803.7873,4178.462,3996.923,4237.949,4026.667,4127.692
1740095803.7952,4190.769,4002.564,4255.897,4014.872,4087.179
1740095803.8032,4231.795,4017.436,4266.154,4022.051,4087.692
1740095803.8112,4250.256,4036.41,4255.897,4031.282,4121.026
1740095803.819,4215.385,4034.359,4255.897,4014.872,4097.949
1740095803.8269,4215.385,4013.846,4259.487,4009.744,4065.128
1740095803.8346,4246.154,4006.154,4266.667,4017.949,4075.385
1740095803.8424,4213.333,4003.59,4261.026,4002.564,4069.744
1740095803.8504,4190.769,3991.282,4256.41,3981.538,4044.615
1740095803.8584,4240,3991.795,4259.487,3973.333,4032.308
1740095803.8664,4244.103,4003.077,4269.231,3979.487,4037.949
1740095803.8743,4227.692,4012.308,4272.821,4001.538,4069.231
1740095803.8823,4266.667,4020.513,4259.487,4003.59,4075.897
1740095803.8901,4256.41,4012.821,4258.974,3975.385,4036.923
1740095803.8981,4192.821,3994.872,4272.308,3974.872,4024.103
1740095803.9059,4211.282,4003.077,4287.179,3996.41,4056.923
1740095803.9138,4297.436,4032.308,4281.026,3996.923,4082.564
1740095803.9216,4330.256,4035.897,4270.769,3990.769,4072.308
1740095803.9296,4305.641,4013.846,4255.385,3991.282,4049.231
1740095803.9374,4289.231,3995.385,4256.923,3977.949,4028.205
1740095803.9454,4285.128,3981.538,4254.872,3967.692,4020.513
1740095803.9531,4281.026,3972.821,4249.744,3971.282,4015.897
1740095803.9611,4311.795,3987.179,4237.949,3982.051,4014.359
1740095803.9691,4313.846,3992.308,4234.359,3972.821,4014.359
1740095803.9769,4287.179,3974.872,4220.513,3948.205,3997.949
1740095803.9847,4322.051,3982.564,4215.897,3956.41,4004.103
1740095803.9924,4324.103,3995.897,4218.462,3980,4040
1740095804.0004,4272.821,3991.795,4221.026,3983.077,4042.051
1740095804.0084,4274.872,3995.385,4219.487,3982.051,4022.564
1740095804.0162,4272.821,3997.436,4204.615,3980,4030.769
1740095804.0242,4229.744,3972.821,4180.513,3961.538,4032.308
1740095804.0319,4252.308,3958.974,4166.154,3955.385,4002.051
1740095804.0397,4291.282,3973.846,4171.795,3964.615,3990.256
1740095804.0475,4285.128,3985.128,4163.077,3973.846,4018.462
1740095804.0555,4301.538,3983.59,4168.205,3983.59,4026.667
1740095804.0635,4297.436,3984.615,4191.282,3986.154,4012.821
1740095804.0714,4258.462,3994.359,4214.359,3993.333,4025.641
1740095804.0794,4248.205,3993.333,4218.974,4009.231,4049.744
1740095804.0872,4229.744,3971.795,4218.462,3996.41,4038.462
1740095804.095,4209.231,3970.769,4197.949,3987.692,4026.667
1740095804.103,4215.385,3984.615,4181.538,4006.154,4041.538
1740095804.111,4215.385,3984.103,4180,4012.308,4046.154
1740095804.1189,4201.026,3988.718,4199.487,4001.026,4046.667
1740095804.1269,4215.385,4002.564,4211.795,3998.974,4058.974
1740095804.1347,4225.641,3993.333,4207.179,3998.462,4052.821
1740095804.1425,4209.231,3985.128,4201.538,4003.59,4043.077
1740095804.1503,4203.077,4013.333,4223.59,4021.026,4058.974
1740095804.158,4201.026,4028.718,4243.077,4019.487,4072.821
1740095804.166,4217.436,4012.308,4244.103,4013.846,4074.872
1740095804.174,4207.179,3991.282,4249.744,4016.923,4054.872
1740095804.182,4153.846,3975.897,4254.359,4001.026,4015.385
1740095804.1898,4153.846,3964.103,4254.359,3973.846,4009.231
1740095804.1977,4211.282,3959.487,4244.615,3966.154,4029.231
1740095804.2055,4207.179,3962.564,4235.897,3974.359,4022.051
1740095804.2135,4176.41,3970.769,4211.795,3979.487,4016.923
1740095804.2213,4221.538,3975.385,4208.718,3977.436,4035.897
1740095804.2293,4287.179,3984.103,4217.949,3991.282,4054.872
1740095804.237,4278.974,3989.744,4218.462,4009.231,4052.308
1740095804.245,4217.436,3968.718,4204.103,3997.436,4028.718
1740095804.253,4205.128,3953.846,4222.051,3982.051,4016.41
1740095804.261,4262.564,3981.026,4242.564,4005.641,4038.974
1740095804.269,4285.128,3999.487,4246.154,4022.564,4045.641
1740095804.2769,4256.41,3990.256,4250.769,4009.744,4040.513
1740095804.2847,4266.667,4016.923,4258.462,4032.308,4074.872
1740095804.2927,4322.051,4063.59,4242.564,4080.513,4105.641
1740095804.3005,4348.718,4065.641,4217.436,4086.667,4094.359
1740095804.3084,4326.154,4042.564,4209.231,4062.051,4066.154
1740095804.3161,4299.487,4036.923,4203.077,4053.846,4067.692
1740095804.3239,4303.59,4034.872,4190.256,4053.846,4085.641
1740095804.3317,4330.256,4022.051,4182.051,4044.103,4079.487
1740095804.3395,4320,4004.103,4207.179,4033.333,4058.974
1740095804.3473,4278.974,3995.897,4225.641,4030.256,4053.846
1740095804.355,4295.385,4005.128,4223.59,4027.692,4052.821
1740095804.3628,4348.718,4007.692,4224.615,4017.436,4035.385
1740095804.3706,4334.359,3991.282,4251.795,4005.128,4023.077
1740095804.3784,4293.333,3993.846,4245.641,4005.641,4042.564
1740095804.3862,4309.744,4024.615,4228.205,4024.103,4077.436
1740095804.3939,4332.308,4040,4233.846,4046.667,4095.897
1740095804.4017,4324.103,4024.615,4258.974,4048.205,4101.538
1740095804.4097,4309.744,4015.385,4266.154,4048.718,4116.41
1740095804.4177,4287.179,4016.923,4277.436,4047.179,4122.051
1740095804.4257,4291.282,4007.692,4279.487,4018.974,4101.538
1740095804.4334,4293.333,3982.051,4261.538,3994.359,4077.436
1740095804.4414,4225.641,3938.462,4250.769,3992.821,4046.667
1740095804.4494,4205.128,3906.667,4244.103,3998.974,4014.872
1740095804.4574,4297.436,3926.154,4225.641,4010.256,4006.667
1740095804.4654,4315.897,3950.256,4213.846,4015.897,4000
1740095804.4733,4242.051,3922.051,4228.205,3985.641,3959.487
1740095804.4813,4225.641,3887.179,4226.154,3937.436,3918.462
1740095804.4891,4196.923,3866.154,4210.769,3900.513,3891.282
1740095804.4971,4153.846,3840.513,4215.897,3888.718,3863.077
1740095804.5049,4211.282,3829.744,4243.59,3889.744,3848.205
1740095804.5128,4240,3831.795,4231.795,3873.333,3838.462
1740095804.5208,4168.205,3826.667,4216.41,3858.462,3827.179
1740095804.5288,4174.359,3841.538,4224.103,3876.41,3841.538
1740095804.5366,4231.795,3883.59,4248.718,3909.231,3883.077
1740095804.5446,4198.974,3911.282,4253.333,3935.897,3922.051
1740095804.5523,4166.154,3923.077,4253.333,3949.231,3936.41
1740095804.5603,4203.077,3920.513,4237.949,3947.179,3928.718
1740095804.5681,4237.949,3904.103,4215.385,3941.538,3909.744
1740095804.576,4207.179,3907.179,4202.564,3945.128,3904.615
1740095804.5838,4157.949,3927.179,4197.949,3956.923,3920.513
1740095804.5915,4176.41,3928.205,4188.718,3958.974,3942.564
1740095804.5993,4207.179,3913.846,4173.333,3955.385,3944.615
1740095804.6073,4170.256,3910.769,4173.846,3965.641,3927.692
1740095804.6153,4168.205,3928.718,4192.308,3989.744,3938.462
1740095804.6233,4246.154,3948.205,4225.128,4001.538,3972.821
1740095804.6312,4270.769,3939.487,4240,3998.462,3979.487
1740095804.639,4221.538,3912.821,4238.462,3991.795,3954.872
1740095804.647,4225.641,3926.667,4242.051,4003.077,3963.59
1740095804.6548,4291.282,3956.923,4264.615,4015.385,3990.769
1740095804.6626,4307.692,3958.462,4264.103,4012.308,3983.59
1740095804.6703,4268.718,3958.462,4256.923,4013.846,3970.769
1740095804.6783,4299.487,3979.487,4238.462,4030.256,3985.641
1740095804.6861,4346.667,4002.564,4221.538,4040.513,4007.179
1740095804.6939,4297.436,4013.333,4208.205,4042.564,4010.256
1740095804.7017,4266.667,4022.051,4201.538,4059.487,4015.897
1740095804.7094,4301.538,4031.282,4185.641,4080,4040
1740095804.7174,4301.538,4030.769,4175.897,4067.692,4050.256
1740095804.7254,4281.026,4027.179,4177.949,4046.154,4026.667
1740095804.7334,4287.179,4035.385,4174.359,4057.949,4021.538
1740095804.7414,4264.615,4042.051,4153.333,4076.41,4042.564
1740095804.7494,4270.769,4038.462,4125.641,4069.231,4046.667
1740095804.7573,4315.897,4034.359,4128.718,4060.513,4043.077
1740095804.7651,4285.128,4032.821,4146.667,4058.974,4031.282
1740095804.7729,4248.205,4047.179,4168.718,4053.333,4017.949
1740095804.7809,4303.59,4084.615,4185.641,4070.769,4052.821
1740095804.7887,4377.436,4088.205,4206.667,4108.205,4101.026
1740095804.7966,4408.205,4069.231,4211.282,4127.692,4101.538
1740095804.8044,4371.282,4084.103,4215.385,4118.462,4078.462
1740095804.8124,4311.795,4095.385,4209.744,4113.333,4077.949
1740095804.8202,4334.359,4088.205,4208.205,4128.718,4100
1740095804.8282,4377.436,4096.41,4185.128,4136.923,4119.487
1740095804.8359,4315.897,4095.897,4165.128,4121.538,4092.308
1740095804.8439,4270.769,4091.795,4182.051,4122.564,4073.333
1740095804.8517,4307.692,4111.795,4213.846,4140.513,4101.026
1740095804.8597,4350.769,4116.923,4220,4141.538,4106.667
1740095804.8677,4377.436,4095.897,4229.744,4138.462,4094.359
1740095804.8756,4383.59,4102.564,4240,4157.949,4106.154
1740095804.8834,4348.718,4122.564,4220.513,4180.513,4115.385
1740095804.8914,4328.205,4112.308,4209.231,4174.359,4110.769
1740095804.8994,4352.821,4100.513,4211.795,4164.103,4122.564
1740095804.9074,4354.872,4109.744,4205.128,4171.795,4137.949
1740095804.9153,4320,4123.59,4182.564,4174.359,4142.564
